title,author,category,pages,published,format,dimensions,price,isbn,isbn_10
Eleanor Oliphant is Completely Fine,Gail Honeyman,"[""Modern & Contemporary Fiction"", ""Fiction""]",400,2017,"hardcover, paperback","[2.5, 4, 1.34]",24.95,9780008172121,0008172129
Hot Dog Basket,Slk,"[""Modern & Contemporary Fiction"", ""Fiction""]",148,2017,paperback,"[8.25, 11.5, 0.5]",22.95,9781387030699,1387030698
Romanov Curse,Sam Cromartie,"[""Modern & Contemporary Fiction"", ""Fiction""]",340,2017,"hardcover, paperback","[4, 6.5, 1.14]",41.75,9781543429213,1543429211
The Walk,Peter Barry,"[""Modern & Contemporary Fiction"", ""Fiction""]",240,2017,"hardcover, paperback","[12.0, 19.0, 0.8]",16.9,9781780263946,1780263945
American Family,Catherine Marshall-Smith,"[""Modern & Contemporary Fiction"", ""Fiction""]",360,2017,paperback,"[12.0, 19.0, 1.2]",27.25,9781631521638,1631521632
Expecting The Billionaire's Baby/The Ten-Day Baby Takeover,Andrea Laurence,"[""Adult & Contemporary Romance"", ""Romance""]",360,2017,"hardcover, paperback","[3.5, 5.5, 1.2]",11.95,9781489225153,1489225153
The Punknowle Plot,Tony Phillips,"[""Modern & Contemporary Fiction"", ""Fiction""]",220,2017,"hardcover, paperback","[9.5, 12.0, 0.74]",17.95,9781784652470,1784652474
Her Persistent Playboy/Innocent In The Ivory Tower/Untouched By His Diamonds/A Dangerous Solace,Lucy Ellis,"[""Adult & Contemporary Romance"", ""Romance""]",576,2017,"hardcover, paperback","[4, 6.5, 1.92]",12.5,9781489238955,1489238956
Silver Silence,Nalini Singh,"[""Paranormal Romance Fiction"", ""Romance""]",464,2017,hardcover,"[5, 7.37, 1.55]",39.9,9781101987797,1101987790
Days Of Desire,Tina Donahue,"[""Modern & Contemporary Fiction"", ""Fiction""]",196,2017,"hardcover, paperback","[8.25, 11.5, 0.66]",26.8,9781516100668,1516100662
The Water Dragon's Bride,Rei Toma,"[""Manga"", ""Graphic Novels""]",192,2017,hardcover,"[12.0, 19.0, 0.64]",12.5,9781421592558,142159255X
Bodyguard Reunion,Beverly Long,"[""Romantic Suspense Fiction"", ""Romance""]",288,2017,paperback,"[6, 9, 0.96]",9.9,9780373402199,0373402198
Rosetta,Alexandra Joel,"[""Non-Fiction Prose"", ""Literature, Poetry & Plays""]",336,2017,paperback,"[2.5, 4, 1.13]",19.25,9780143780465,0143780468
The Alexander Inheritance,Eric Flint,"[""Historical Fiction"", ""Fiction""]",400,2017,"hardcover, paperback","[6.5, 9.25, 1.34]",37.25,9781481482486,1481482483
A Distant Journey,Di Morrissey,"[""Fiction"", ""\r\nBooks\r\n""]",400,2017,"hardcover, paperback","[2, 3, 1.34]",21.25,9781925481556,1925481557
Mad Richard,Lesley Krueger,"[""Modern & Contemporary Fiction"", ""Fiction""]",360,2017,hardcover,"[6, 9, 1.2]",18.25,9781770413566,1770413561
The Widow Nash,Jamie Harrison,"[""Historical Fiction"", ""Fiction""]",352,2017,hardcover,"[4, 6.75, 1.18]",38.5,9781619029286,1619029286
Wedding Night With Her Enemy,Melanie Milburne,"[""Adult & Contemporary Romance"", ""Romance""]",192,2017,"hardcover, paperback","[2.5, 4, 0.64]",10.95,9780263924480,0263924483
The Lady Travelers Guide to Scoundrels and Other Gentlemen,Victoria Alexander,"[""Regency Historical Romance\n"", ""Historical Romance""]",544,2017,paperback,"[6.5, 10, 1.82]",11.9,9780373803989,0373803982
The Expanse Between,Lee L Krecklow,"[""Thrillers & Suspense"", ""Fiction""]",248,2017,hardcover,"[2.5, 4, 0.83]",28.9,9781941058619,1941058612
When We Have Wings,Claire Corbett,"[""Classic Fiction"", ""Fiction""]",480,2017,paperback,"[3.5, 5.5, 1.6]",19.25,9781760297466,1760297461
The Garden Club and the Kumquat Campaign,Des Kennedy,"[""Modern & Contemporary Fiction"", ""Fiction""]",215,2017,paperback,"[7, 11, 0.72]",26.4,9781770502055,177050205X
Race Against Time,Sharon Sala,"[""Thrillers & Suspense"", ""Fiction""]",384,2017,paperback,"[3.5, 5.5, 1.28]",13.9,9780778319979,0778319970
Anonymous Noise,Ryoko Fukuyama,"[""Manga"", ""Graphic Novels""]",192,2017,paperback,"[7, 11, 0.64]",12.5,9781421594217,1421594218
Wish You Were Here,Stewart O'Nan,"[""Modern & Contemporary Fiction"", ""Fiction""]",528,2017,hardcover,"[7, 11, 1.76]",20.75,9781760293888,1760293881
Horrorland Dreamwalk (Vol. 2),Noah Stephens,"[""Modern & Contemporary Fiction"", ""Fiction""]",204,2017,paperback,"[8.25, 11.5, 0.68]",32.75,9781478790488,1478790482
Defender,Diana Palmer,"[""Romance"", ""Fiction""]",384,2017,hardcover,"[12.0, 19.0, 1.28]",11.9,9780373801978,0373801971
It,Stephen King,"[""Thrillers & Suspense"", ""Fiction""]",1168,2017,paperback,"[12.0, 19.0, 3.9]",49.9,9781501182099,1501182099
Holy Anime!,Patrick Drazen,"[""Asian History"", ""Regional & National History""]",204,2017,paperback,"[3.5, 5.5, 0.68]",71.95,9780761869078,0761869077
Just One Touch,Maya Banks,"[""Adult & Contemporary Romance"", ""Romance""]",352,2017,"hardcover, paperback","[6, 9, 1.18]",14.95,9780062410184,0062410180
Berlin Red,Sam Eastland,"[""Espionage & Spy Thrillers"", ""Thrillers & Suspense""]",320,2017,paperback,"[5, 7.37, 1.07]",14.95,9780571322398,0571322395
Sweet Little Lies,Caz Frear,"[""Crime & Mystery"", ""Fiction""]",480,2017,paperback,"[8.25, 11.5, 1.6]",16.95,9781785763359,1785763350
The Nakano Thrift Shop,Hiromi Kawakami,"[""Classic Fiction"", ""Fiction""]",256,2017,paperback,"[7, 11, 0.86]",14.95,9781846276026,1846276020
Follow Me Down,Sherri Smith,"[""Crime & Mystery"", ""Fiction""]",448,2017,paperback,"[6.5, 10, 1.5]",14.95,9781785654046,1785654047
Dead Reckoning in Frederick,,"[""Thrillers & Suspense"", ""Fiction""]",,2017,paperback,"[5, 7.37, 0.6]",31.85,9781524695514,1524695513
Holding,Graham Norton,"[""Crime & Mystery"", ""Fiction""]",304,2017,"hardcover, paperback","[12.0, 19.0, 1.02]",14.95,9781444791983,1444791982
Off Rock,Kieran Shea,"[""Science Fiction"", ""Fiction""]",240,2017,hardcover,"[4, 6.75, 0.8]",14.95,9781785653384,1785653385
your name. (light novel),Makoto Shinkai,"[""Fantasy Romance Fiction"", ""Romance""]",192,2017,paperback,"[6.5, 9.25, 0.64]",28.25,9780316471862,0316471860
Summer at the Garden Cafe,Felicity Hayes-McCoy,"[""Modern & Contemporary Fiction"", ""Fiction""]",336,2017,paperback,"[6, 9, 1.13]",24.95,9781473621091,1473621097
The Dastardly Miss Lizzie,Viola Carr,"[""Science Fiction"", ""Fiction""]",464,2017,paperback,"[5, 7.37, 1.55]",25.4,9780062363121,0062363123
Powerful and Proud,Kate Hewitt,"[""Adult & Contemporary Romance"", ""Romance""]",560,2017,hardcover,"[5, 7.37, 1.87]",13.25,9780263929706,0263929701
Next Flame,Penelope Douglas,"[""Romance"", ""Fiction""]",480,2017,"hardcover, paperback","[3.5, 5.5, 1.6]",23.25,9780399584930,0399584935
